          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
  31.52999728   36.65479431   67.61629737    0.00000000    1.82327284    6.28318531    0.00000000
  31.54832981   36.66328230   67.65561162    0.00000000    1.72182493    6.28318531    0.00000000
  31.56473562   36.67087821   67.69079398    0.00000000    1.62123820    6.28318531    0.00000000
  31.57921368   36.67758158   67.72184229    0.00000000    1.52176709    6.28318531    0.00000000
  31.59176313   36.68339199   67.74875466    0.00000000    1.42372170    6.28318531    0.00000000
  31.60238319   36.68830909   67.77152946    0.00000000    1.32749796    6.28318531    0.00000000
  31.61107321   36.69233259   67.79016527    0.00000000    1.23363497    6.28318531    0.00000000
  31.61783267   36.69546223   67.80466098    0.00000000    1.14293865    6.28318531    0.00000000
  31.62266115   36.69769782   67.81501569    0.00000000    1.05680325    6.28318531    0.00000000
  31.62555836   36.69903923   67.82122876    0.00000000    0.97757427    6.28318531    0.00000000
  31.62652411   36.69948638   67.82329983    0.00000000    0.00000000    0.00000000    0.00000000
