          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
  58.09710336   69.60074523   46.69591534    2.73818842    6.30097718    6.28318531    0.00000000
  58.28569607   69.69606542   47.08501898    2.76100496    6.30139213    6.28318531    0.00000000
  58.47288105   69.79067410   47.47121820    2.78365119    6.30114509    6.28318531    0.00000000
  58.65864675   69.88456544   47.85448917    2.80612570    6.30022033    6.28318531    0.00000000
  58.84298172   69.97773364   48.23480825    2.82842712    6.29860192    6.28318531    0.00000000
  59.02587458   70.07017295   48.61215197    2.85055408    6.29627376    6.28318531    0.00000000
  59.20731404   70.16187768   48.98649708    2.87250519    6.29321955    6.28318531    0.00000000
  59.38728893   70.25284217   49.35782046    2.89427912    6.28942281    6.28318531    0.00000000
  59.56578813   70.34306081   49.72609922    2.91587451    6.28486690    6.28318531    0.00000000
  59.74280064   70.43252803   50.09131064    2.93729004    6.27953500    6.28318531    0.00000000
  59.91831554   70.52123831   50.45343219    2.95852438    6.27341017    6.28318531    0.00000000
  60.09232199   70.60918619   50.81244154    2.97957623    6.26647530    6.28318531    0.00000000
  60.26480928   70.69636623   51.16831654    3.00044428    6.25871316    6.28318531    0.00000000
  60.43576675   70.78277306   51.52103523    3.02112725    6.25010640    6.28318531    0.00000000
  60.60518386   70.86840135   51.87057587    3.04162386    6.24063758    6.28318531    0.00000000
  60.77305017   70.95324581   52.21691688    3.06193285    6.23028914    6.28318531    0.00000000
  60.93935531   71.03730122   52.56003691    3.08205297    6.21904347    6.28318531    0.00000000
  61.10408903   71.12056238   52.89991478    3.10198297    6.20688288    6.28318531    0.00000000
  61.26724116   71.20302417   53.23652954    3.12172163    6.19378965    6.28318531    0.00000000
  61.42880165   71.28468149   53.56986042    3.14126772    6.17974602    6.28318531    0.00000000
  61.58876053   71.36552932   53.89988686    3.16062005    6.16473424    6.28318531    0.00000000
  61.74710792   71.44556265   54.22658850    3.17977741    6.14873654    6.28318531    0.00000000
  61.90383407   71.52477656   54.54994519    3.19873863    6.13173521    6.28318531    0.00000000
  62.05892930   71.60316615   54.86993698    3.21750254    6.11371259    6.28318531    0.00000000
  62.21238405   71.68072660   55.18654414    3.23606798    6.09465109    6.28318531    0.00000000
  62.36418885   71.75745312   55.49974713    3.25443380    6.07453322    6.28318531    0.00000000
  62.51433434   71.83334097   55.80952663    3.27259887    6.05334163    6.28318531    0.00000000
  62.66281125   71.90838548   56.11586354    3.29056207    6.03105910    6.28318531    0.00000000
  62.80961043   71.98258202   56.41873896    3.30832230    6.00766862    6.28318531    0.00000000
  62.95472283   72.05592600   56.71813420    3.32587845    5.98315337    6.28318531    0.00000000
  63.09813948   72.12841290   57.01403081    3.34322945    5.95749677    6.28318531    0.00000000
  63.23985155   72.20003826   57.30641052    3.36037422    5.93068252    6.28318531    0.00000000
  63.37985029   72.27079766   57.59525530    3.37731170    5.90269463    6.28318531    0.00000000
  63.51812707   72.34068673   57.88054733    3.39404086    5.87351742    6.28318531    0.00000000
  63.65467335   72.40970115   58.16226902    3.41056066    5.84313563    6.28318531    0.00000000
  63.78948072   72.47783668   58.44040298    3.42687008    5.81153435    6.28318531    0.00000000
  63.92254086   72.54508910   58.71493207    3.44296811    5.77869917    6.28318531    0.00000000
  64.05384556   72.61145428   58.98583934    3.45885376    5.74461614    6.28318531    0.00000000
  64.18338672   72.67692811   59.25310809    3.47452606    5.70927183    6.28318531    0.00000000
